valence,arousal,mood_top,mood_top_score,clap_top1,clap_top1_score,clap_top2,clap_top2_score,clap_top3,clap_top3_score,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad,prose,filename
-0.3570,1.0137,mood_party,0.9615,lustful slow burn,0.3564,heist suspense,0.3558,unstable euphoria,0.3090,0.5962,0.0941,0.6756,0.0124,0.9615,0.0419,0.3224,"A seductive tension pulses with restless longing, its thrill echoing a covert heist while an unstable euphoria flickers beneath.",Infected_Mushroom_-_Milosh_ᴴᴰ[www.MP3Fiber.com].mp3
-0.5626,1.0023,mood_party,0.9445,clenched-jaw tension,0.2251,restless wandering,0.2081,unstable euphoria,0.2032,0.2265,0.1257,0.8149,0.0178,0.9445,0.0680,0.5175,"The track throbs with clenched‑jaw tension and restless wandering, a restless pulse that oscillates between swamp gloom and quiet desperation, punctuated by flashes of unstable euphoria.",Infected Mushroom - Im The Supervisor.mp3
-0.2155,0.9992,mood_party,0.9893,meditative grief,0.4020,prayerful surrender,0.3621,sober reflection,0.3510,0.5720,0.0391,0.4754,0.0080,0.9893,0.0293,0.2039,"The track pulses with a high‑energy, party‑driven intensity while a subtle undercurrent of sorrow lingers, evoking a sense of meditative grief and prayerful surrender. It carries a sober reflection that feels like an extraterrestrial calm, concluding with a bittersweet farewell.",Infected Mushroom - Pink Froid (2015).mp3
-0.2386,0.9937,mood_party,0.9879,algorithmic detachment,0.3153,sacred awe,0.3117,wartime stoicism,0.2930,0.7299,0.0382,0.3880,0.0118,0.9879,0.0325,0.2313,"A stark, algorithmic detachment and wartime stoicism clash, amplified by bursts of sacred awe and heist suspense, while a fragile dawn‑light hope flickers against an intense, party‑driven backdrop.",Infected Mushroom & WHITENO1SE - More of Just the Same [Monstercat LP Release].mp3
-0.3377,0.9857,mood_party,0.9726,meditative grief,0.3212,warm domestic contentment,0.3088,anxious propulsive dread,0.2910,0.5048,0.0409,0.7197,0.0175,0.9726,0.0277,0.3348,"The track carries grief that moves from contemplation to a push toward reunion, its emotional pull oscillating between introspection, dread, and warmth.",Infected Mushroom - Avratz.mp3
-0.3824,0.9460,mood_party,0.9499,digital chill,0.3449,chase adrenaline,0.2986,glacial drift,0.2890,0.4456,0.0215,0.8465,0.0135,0.9499,0.0254,0.3852,"A frantic, icy digital surge pushes an adrenaline‑charged pulse through a candlelit sorrow that clings to the relentless party energy.",Infected_Mushroom_-_The_Surgeon_2015[www.MP3Fiber.com].mp3
-0.4661,0.9275,mood_party,0.8882,samurai composure,0.3219,bittersweet farewell,0.3111,small-town nostalgia,0.2812,0.5141,0.0706,0.6436,0.0223,0.8882,0.0312,0.4531,"It moves through a bittersweet farewell, its samurai composure blending with a hollow joy that rises amid a pulse of party energy, while small‑town nostalgia and sacred awe add depth to the atmosphere.",Infected Mushroom - Feeling (2015).mp3
-0.4113,0.9202,mood_party,0.9358,glacial drift,0.3197,unstable euphoria,0.2808,candlelit grief,0.2590,0.3944,0.0371,0.7327,0.0422,0.9358,0.0528,0.4349,"It drifts in a glacial silence that erupts into unstable euphoria, pulling the heart into candlelit grief before collapsing into a rapturous worship that feels like sinner relish. The result is a high‑energy, bittersweet trance that keeps listeners on edge.",Infected Mushroom - Deepongi.mp3
-0.1982,0.9085,mood_party,0.9448,bittersweet farewell,0.3916,reunion warmth,0.3868,sober reflection,0.3651,0.6727,0.0101,0.4757,0.0284,0.9448,0.0463,0.2215,"A bittersweet farewell swirls with reunion warmth, its slow‑burning melancholy hinting at a mountaintop epiphany that lingers long after the final beat.",Infected Mushroom - Jeenge [HQ].mp3
-0.6581,0.9083,mood_party,0.8618,glacial drift,0.3450,meditative grief,0.3267,ecstatic surrender,0.3213,0.2087,0.1593,0.7796,0.0268,0.8618,0.1129,0.6052,"It weaves glacial drift and meditative grief into ecstatic surrender, then leaves a lingering echo of anxious propulsive dread.",Infected Mushroom & Bliss - Ani Mevushal [Monstercat Release].mp3
-0.7110,0.9033,mood_electronic,0.9285,manic glee,0.2516,heist suspense,0.2332,sacred awe,0.2298,0.0818,0.1775,0.9285,0.0177,0.8385,0.1128,0.6400,"Manic glee collides with heist suspense, forging an electric thrill that feels both playful and unhinged, yet wrapped in a quiet, almost sacred awe. The high electronic pulse fuels a party atmosphere while a subtle undertone of sadness lingers, leaving the listener in a state of exhilarating unease.",Infected_Mushroom_-_Blue_Swan_5_2015[www.MP3Fiber.com].mp3
-0.2177,0.8910,mood_party,0.9523,samurai composure,0.3997,heist suspense,0.3796,small-town nostalgia,0.3728,0.7324,0.0407,0.3598,0.0530,0.9523,0.1019,0.2504,"A wave of tension rises, echoing memories of a town and the resolve of a samurai, as a heist drifts beneath a party atmosphere.",Infected Mushroom - Elevation [HQ].mp3
-0.5471,0.8799,mood_party,0.9212,reunion warmth,0.2984,defeat sulk,0.2673,ecstatic surrender,0.2636,0.1336,0.0868,0.8356,0.0412,0.9212,0.1281,0.5450,It feels like a party that swallows restless yearning and leaves an echo of melancholy.,Infected Mushroom - Pletzturra.mp3
-0.1082,0.8540,mood_party,0.9265,sacred awe,0.2986,candlelit grief,0.2895,defeat sulk,0.2860,0.8192,0.0351,0.1747,0.0680,0.9265,0.1075,0.1587,"A candlelit grief lingers, giving way to a sacred awe that feels like a prayerful surrender, while an undercurrent of defeat sulk tinges the experience.",Infected_Mushroom_-_Now_is_Gold_feat_Kelsy_Karter[www.MP3Fiber.com].mp3
-0.8485,0.8338,mood_electronic,0.9578,heist suspense,0.3748,unstable euphoria,0.3506,swamp gloom,0.3451,0.1158,0.1510,0.9578,0.0100,0.7580,0.0752,0.7830,"Uneasy thrill surges, as if a covert operation unravels in a sea of sorrow, its pulse racing with restless intensity. The high‑arousal gloom echoes a desperate, relentless party vibe that grips the listener.",Infected Mushroom - What You Know You Know You Know.mp3
-0.6601,0.8203,mood_electronic,0.9426,sinner relish,0.2631,hollow joy,0.2399,clenched-jaw tension,0.2283,0.2588,0.0871,0.9426,0.0212,0.8064,0.0731,0.6378,"It feels like a party of emotions, with sinner relish, hollow joy, clenched‑jaw tension, ecstatic surrender, and wedding ecstasy.",Infected Mushroom - Liquid Smoke.mp3
-0.5849,0.8123,mood_electronic,0.9349,boudoir intimacy,0.3273,glacial drift,0.3176,hollow joy,0.2974,0.3116,0.0670,0.9349,0.0318,0.8163,0.0710,0.5832,"A restless electronic haze swirls with hollow joy and a whisper of claustrophobia, creating an intense, bittersweet atmosphere that feels both intimate and unsettling.",Infected Mushroom & Mashina - Atid Matok.mp3
-0.4758,0.7888,mood_electronic,0.8627,reunion warmth,0.3515,sardonic humor,0.3442,elder-statesman gravitas,0.3173,0.1102,0.0383,0.8627,0.0549,0.8207,0.0703,0.5115,"Party energy surges, yet sardonic humor and elder‑statesman gravitas mingle with a defeat sulk.",Infected Mushroom- Sleeping [May Be] [Unreleased Track].mp3
-0.8322,0.7291,mood_electronic,0.8076,neon-lit lust,0.2937,chase adrenaline,0.2875,glacial drift,0.2825,0.1152,0.4065,0.8076,0.0758,0.6902,0.3675,0.7048,"Neon‑lit lust ignites a chase of adrenaline that skims glacial drift. Candlelit grief merges with voidstaring nihilism, echoing in resonance.",Infected_Mushroom_-_Manipulator_ᴴᴰ[www.MP3Fiber.com].mp3
-1.0201,0.7247,mood_electronic,0.9047,chase adrenaline,0.3311,digital chill,0.3150,lustful slow burn,0.2694,0.0618,0.4639,0.9047,0.0347,0.5050,0.2442,0.8228,"A relentless chase of adrenaline, tinged with a digital chill, stirs a restless longing that feels both numb and aggressive.",Infected_Mushroom_-_Nutmeg_Video_Clip[www.MP3Fiber.com].mp3
-0.0444,0.7173,mood_party,0.8669,unstable euphoria,0.2732,clumsy earnestness,0.2649,sardonic humor,0.2646,0.7992,0.0141,0.1536,0.3198,0.8669,0.1637,0.3571,"It swirls in unstable euphoria, a restless giddy infatuation that flirts with sardonic humor, as if defying decay with clumsy earnestness.",Infected Mushroom & Bliss - Bliss on Mushrooms (feat. Miyavi) [Monstercat Release].mp3
-0.3519,0.6944,mood_party,0.7948,candlelit grief,0.4024,tender and afraid,0.3866,icy detachment,0.3734,0.4070,0.0637,0.1565,0.0214,0.7948,0.1640,0.3415,"It moves from grief to fear, to distance, and to a farewell that leaves a sense of loss, all wrapped in an intense, negative mood.",Infected Mushroom - Savant on Mushrooms (feat. Savant).mp3
-0.9268,0.6715,mood_electronic,0.8746,late-night confession,0.2697,digital chill,0.2679,boudoir intimacy,0.2602,0.1832,0.4864,0.8746,0.0446,0.4825,0.2975,0.7283,"Midnight confession, digital chill, glacial drift, and reunion warmth intertwine, stirring sorrow and intensity.",Infected Mushroom - The Messenger.mp3
-1.0900,0.6670,mood_electronic,0.9633,sneering swagger,0.2139,freeway hypnosis,0.2105,desert hallucination,0.2051,0.0305,0.5876,0.9633,0.0807,0.5430,0.4637,0.8769,"A defiant, sorrowful swagger drips through, hypnotized by a desert haze that feels like a freeway trance, leaving an aggressive echo.",Infected Mushroom - Converting Vegetarians.mp3
-0.7348,0.6506,mood_electronic,0.9516,heist suspense,0.2879,sleazy lounging,0.2876,swamp gloom,0.2787,0.0780,0.1977,0.9516,0.0617,0.5986,0.1457,0.6976,"Heist suspense, sleazy lounging, swamp gloom, unstable euphoria, neon‑lit lust swirl, pulling the listener into a night of sorrow and yearning.",Infected Mushroom - Kipod (HD 1080p).mp3
-0.8257,0.6282,mood_electronic,0.8695,neon-lit lust,0.3774,lustful slow burn,0.3682,paranoid claustrophobia,0.3618,0.1010,0.2560,0.8695,0.0658,0.6563,0.2841,0.7635,"Neon‑lit lust and lustful slow burn weave into paranoid claustrophobia, while chase adrenaline pulses through the track and a candlelit grief lingers.",Infected_Mushroom_-_Flamingo[www.MP3Fiber.com].mp3
-1.3359,0.6142,mood_sad,0.9280,chase adrenaline,0.2331,wedding ecstasy,0.1900,digital chill,0.1566,0.0172,0.8676,0.8101,0.0259,0.3766,0.6299,0.9280,"A surge of adrenaline collides with a sorrowful, aggressive pulse, pulling the listener into a digital, restless vortex.",Infected Mushroom - Only Solutions.mp3
-0.7586,0.6014,mood_electronic,0.8293,warehouse rave delirium,0.1249,transcendent and weightless,0.1244,chase adrenaline,0.1156,0.1166,0.2683,0.8293,0.0570,0.5970,0.2639,0.6815,"A frantic chase of dark, urgent pulses echoes a desperate escape, its weightless highs slipping into subterranean dread. The feeling is a restless underground thrill, a high‑energy surge that lingers in sorrow.",Release me - Infected mushroom.mp3
-0.8858,0.5834,mood_sad,0.8221,chase adrenaline,0.2593,digital chill,0.2586,boudoir intimacy,0.2198,0.1078,0.3543,0.7193,0.1135,0.6208,0.3917,0.8221,"Adrenaline chases, chill settles, intimacy unfolds, surrender follows, relish lingers, all wrapped in an electronic pulse that carries sorrow toward a party abyss. The pulse drags the weight of sadness into a party night.",Infected Mushroom - After 1000 Years.mp3
-0.3564,0.5686,mood_party,0.7396,icy detachment,0.3277,backseat heartbreak,0.3103,candlelit grief,0.3090,0.3111,0.1181,0.2891,0.1104,0.7396,0.2891,0.4078,"The atmosphere swings between detachment and grief, a party beat beneath numbness. Backseat heartbreak and worship echo beneath.",Infected Mushroom & Sasha Grey - Fields Of Grey (Converting Vegetarians 2).mp3
-1.2161,0.5533,mood_electronic,0.9715,transcendent and weightless,0.2493,chase adrenaline,0.2460,sinner relish,0.2411,0.0130,0.6950,0.9715,0.0366,0.3589,0.5006,0.9052,"The feeling feels transcendent and weightless. A chase of adrenaline pulls at sorrow, leaving a pulse of aggression.",Infected Mushroom - On the Road Again (2015).mp3
-0.7327,0.5494,mood_electronic,0.9314,glacial drift,0.4146,sinner relish,0.3765,sleazy lounging,0.3737,0.1259,0.1179,0.9314,0.0181,0.5248,0.0933,0.6919,"A chilling, sorrowful drift of melancholy, tinged with a dark, mischievous thrill that feels like a secret heist in a cold, abandoned room, yet carries a restless, low‑key party pulse.",Infected_Mushroom_-_Groove_Attack[www.MP3Fiber.com].mp3
-0.7565,0.5434,mood_electronic,0.9096,digital chill,0.3918,chase adrenaline,0.3783,hollow joy,0.3586,0.2315,0.2319,0.9096,0.0565,0.5446,0.2330,0.6971,"The track drifts between hollow joy and candlelit grief, a digital chill that chases adrenaline while leaving a lingering sense of ecstatic surrender.",Infected Mushroom - You Wanna Stay.mp3
-0.7038,0.5359,mood_electronic,0.7600,heist suspense,0.4165,glacial drift,0.4108,unstable euphoria,0.4100,0.1038,0.2082,0.7600,0.0848,0.5346,0.2070,0.6845,"A tense, cold chase that oscillates between brief bursts of chaotic joy and a lingering, bleak melancholy.",Infected Mushroom - Scorpion Frog.mp3
-0.8773,0.5356,mood_electronic,0.9668,chase adrenaline,0.3107,ecstatic surrender,0.3062,digital chill,0.2993,0.0252,0.2524,0.9668,0.0675,0.5144,0.2312,0.8186,"A chase of adrenaline leads into surrender, then a chill of technology, and detachment, all wrapped in sorrow, culminating in transcendence.",Infected Mushroom - 9 Percent.mp3
-0.8803,0.5175,mood_electronic,0.8151,reunion warmth,0.1732,moonlit longing,0.1594,bittersweet farewell,0.1591,0.2827,0.5184,0.8151,0.0350,0.4387,0.4396,0.6562,"Longing drifts like a farewell under moonlight, echoing ache. Warmth and contentment flicker between reunion and parting, stirring tension.",Infected_Mushroom_-_Wanted_To_HQ_Audio[www.MP3Fiber.com].mp3
-1.1684,0.4888,mood_electronic,0.9500,sinner relish,0.3400,heat-haze daze,0.2871,mechanical chant,0.2807,0.0321,0.5947,0.9500,0.0498,0.3590,0.4649,0.9209,"The track exudes a sense of sinner relish, heat-haze daze, and mechanical chant, while anxious propulsive dread and freeway hypnosis echo through its pulse.",Infected Mushroom - Hush Mail.mp3
-1.0220,0.4791,mood_electronic,0.9638,transcendent and weightless,0.2180,warehouse rave delirium,0.2015,unstable euphoria,0.1727,0.0431,0.3868,0.9638,0.0142,0.3897,0.2975,0.8428,"Sorrow and unease swirl, interspersed with unstable euphoria that feels like a trembling weightless pulse of anxious propulsive dread. The overall mood lingers like a heist suspense, a tension that refuses to settle.",Simon_Posford_Infected_Mushroom_-_I_See_Myself[www.MP3Fiber.com].mp3
-0.8667,0.4623,mood_electronic,0.9908,sinner relish,0.3250,glacial drift,0.3237,reunion warmth,0.3108,0.0298,0.1142,0.9908,0.0213,0.4912,0.1431,0.8309,"Sorrow drifts through the track, echoing a reunion that ends in separation, while a drift of coldness of defeat sulks. Sinner relish surfaces, a pleasure that feels like transgression.",Infected Mushroom   Sense of Direction.mp3
-0.5614,0.4619,mood_electronic,0.7363,reunion warmth,0.3308,sinner relish,0.2775,glacial drift,0.2695,0.1742,0.1157,0.7363,0.1676,0.6511,0.3050,0.6711,"A bleak ache drifts like cold water, pierced by restless euphoria that hints at a rebellious, solitary joy.",Infected Mushroom - Kink (Studio Version).mp3
-0.6720,0.4442,mood_electronic,0.9863,ecstatic surrender,0.3511,glacial drift,0.3445,warehouse rave delirium,0.3255,0.0514,0.0291,0.9863,0.0451,0.5292,0.1141,0.7026,"A sorrow‑laden, high‑energy swirl of ecstatic surrender and glacial drift pulls the listener into a digital frenzy that feels like a heist waiting to unfold.",Infected Mushroom - IllumiNaughty.mp3
-1.2135,0.4416,mood_electronic,0.9531,anxious propulsive dread,0.3228,wedding ecstasy,0.2975,chase adrenaline,0.2802,0.0081,0.6862,0.9531,0.0464,0.3122,0.5567,0.9169,"A weight of dread propels the listener forward, an urgency that feels like a tide. The mood shifts between a pressure and a pull, hinting at sorrow and aggression.",Infected Mushroom - Lightweight.mp3
-1.0406,0.4237,mood_electronic,0.9269,chase adrenaline,0.4380,transcendent and weightless,0.3848,dirt-track aggression,0.3809,0.1011,0.5563,0.9269,0.0391,0.3272,0.4598,0.8015,"A chase of adrenaline, a pulse echoing through a track, dirt‑track aggression, tension like a heist, tinged with sadness.",Infected Mushroom - Head of NASA [Monstercat LP Release].mp3
-1.1815,0.4096,mood_electronic,0.9739,warehouse rave delirium,0.2495,ecstatic surrender,0.2495,freeway hypnosis,0.2247,0.0221,0.6572,0.9739,0.0573,0.2333,0.4809,0.9102,"A bleak, relentless surge of aggressive sorrow collides with ecstatic surrender, as if a warehouse rave delirium has been trapped in gravity.",Xerox - Gravity Waves (Infected Mushroom 2017 Remix).mp3
-1.1178,0.3912,mood_electronic,0.9745,heist suspense,0.3300,desert hallucination,0.3235,dirt-track aggression,0.2940,0.0816,0.5546,0.9745,0.0212,0.4068,0.5703,0.8617,"A heist suspense tightens into aggressive, sad electronic pulses that evoke a desert hallucination, defiant against decay yet tinged with exhaustion.",Infected Mushroom - Poquito Mas.mp3
-0.6679,0.3819,mood_sad,0.7889,slow-burning melancholy,0.2069,mountaintop epiphany,0.1853,ecstatic surrender,0.1832,0.0768,0.2353,0.6937,0.2387,0.4823,0.3357,0.7889,"A longing rises, then dissolves into surrender, as if the listener stands at a peak and lets go of all resistance. The experience feels like a revelation that lingers like a mirage.",Infected Mushroom - In Front Of Me.mp3
-0.7287,0.3794,mood_electronic,0.9557,unstable euphoria,0.4013,heist suspense,0.3755,campy theatrics,0.3678,0.0898,0.2122,0.9557,0.1336,0.4725,0.3053,0.7562,"Unstable euphoria and heist suspense collide, then give way to campy theatrics before spiraling into anxious propulsive dread and paranoid claustrophobia.",Infected Mushroom - Spitfire [Monstercat Release].mp3
-0.7764,0.3644,mood_electronic,0.9211,chase adrenaline,0.2405,warehouse rave delirium,0.2237,digital chill,0.1651,0.1232,0.1870,0.9211,0.0761,0.4160,0.2386,0.7590,"A relentless chase of adrenaline dissolves into a digital chill, a bleak, unstable euphoria that leaves the listener emotionally raw yet restless.",Infected Mushroom - Return to the Sauce (320kbs) [HQ].mp3
-0.8868,0.3435,mood_electronic,0.9804,transcendent and weightless,0.2748,warehouse rave delirium,0.2681,unstable euphoria,0.2657,0.0521,0.1887,0.9804,0.0376,0.3343,0.1795,0.8301,"The track spirals into unstable euphoria that flickers between ecstatic, weightless transcendence and anxious, propulsive dread, a melancholy thrill that feels like a heist suspense amid warehouse rave delirium.",Infected Mushroom - Enjoy The Ride.mp3
-0.8386,0.3432,mood_sad,0.8454,digital chill,0.1862,sleazy lounging,0.1831,chase adrenaline,0.1595,0.0978,0.4308,0.8341,0.2223,0.4108,0.4984,0.8454,"A somber, restless ache permeates, with a digital chill that feels like a void's whisper and a faint surge of adrenaline.",Infected Mushroom - I Shine [HQ Audio].mp3
-1.1044,0.3279,mood_electronic,0.9814,extraterrestrial calm,0.3139,anxious propulsive dread,0.3087,subterranean dread,0.2712,0.0211,0.4986,0.9814,0.0481,0.2080,0.3787,0.9032,"Extraterrestrial calm lingers, but anxious propulsive dread and subterranean dread surge, weaving a meditative grief that feels sleazy lounging.",Infected Mushroom - Cream.mp3
-0.9586,0.3164,mood_electronic,0.9753,voidstaring nihilism,0.2361,chase adrenaline,0.2339,adolescent angst,0.2071,0.0668,0.4185,0.9753,0.1120,0.3281,0.4302,0.8613,"Void-staring nihilism and adolescent angst churn, chased by neon-lit lust that sparks a fleeting adrenaline, all wrapped in icy detachment.",Infected Mushroom - Can't Stop.mp3
-0.7044,0.3124,mood_electronic,0.9778,glacial drift,0.3522,wide-eyed wonder,0.3334,unstable euphoria,0.3235,0.1765,0.1455,0.9778,0.1533,0.3755,0.2086,0.7849,"A glacial drift of sorrow unfurls, its icy silence echoing a breakup numbness that clings. In the quiet, brief wide‑eyed wonder glimmers, hinting at an unstable euphoria that refuses to fully resolve.",Infected Mushroom & Savant - Rise Up (HD 1080p).mp3
-1.1932,0.2859,mood_electronic,0.9727,warehouse rave delirium,0.4083,unstable euphoria,0.3936,transcendent and weightless,0.3218,0.0071,0.7219,0.9727,0.0826,0.0716,0.5076,0.9148,"A warehouse rave delirium merges with aggression and intensity, spiraling into a surrender of sorrow, a descent of chaos and a drift of melancholy.",Infected Mushroom - Nerds On Mushrooms (feat. Pegboard Nerds).mp3
-1.2398,0.2633,mood_sad,0.9498,anxious propulsive dread,0.3648,ecstatic surrender,0.3484,warehouse rave delirium,0.3414,0.0047,0.6421,0.9376,0.0310,0.2867,0.6655,0.9498,"Anxiety propels forward, surrender follows, aggression fades into relaxation.",Infected Mushroom - One Absolute.mp3
-1.1769,0.2553,mood_electronic,0.9898,playful and unhinged,0.2625,sinner relish,0.2448,chase adrenaline,0.2363,0.0120,0.5482,0.9898,0.0243,0.2458,0.5387,0.9271,"A restless, manic pulse fuels a defiant ache, a frantic celebration of loss. It feels like a frantic, almost unhinged lament that refuses to let go.",Infected_Mushroom_-_Zoan_Zound_2015[www.MP3Fiber.com].mp3
-0.6852,0.2330,mood_electronic,0.9163,slow-burning melancholy,0.4199,dawn-light hope,0.3918,glacial drift,0.3789,0.1109,0.1014,0.9163,0.0931,0.3422,0.2106,0.7276,"Slow‑burning melancholy drifts, glacial and hushed, while a fragile dawn‑light hope flickers through the gloom, offering a quiet lift.",Infected Mushroom - Special Place.mp3
-1.3748,0.2205,mood_electronic,0.9964,chase adrenaline,0.2920,transcendent and weightless,0.2300,digital chill,0.2219,0.0013,0.8044,0.9964,0.0125,0.1092,0.6932,0.9851,"Sorrow and aggression collide, pulling the listener into a weightless, digital chase that feels both relentless and unsettling.",Infected_Mushroom_-_Frog_Machine[www.MP3Fiber.com].mp3
-0.9452,0.2050,mood_electronic,0.9220,defeat sulk,0.3500,sleazy lounging,0.3470,manic glee,0.3264,0.0153,0.7022,0.9220,0.3174,0.1604,0.6576,0.9115,"The track sways between defeat sulk, manic glee, and sardonic humor, conveying sadness, aggression, and defiance.",Infected Mushroom - Before.mp3
-0.5563,0.1889,mood_sad,0.8359,sneering swagger,0.2187,wedding ecstasy,0.1971,sinner relish,0.1939,0.1116,0.3781,0.8300,0.4687,0.3320,0.5212,0.8359,"A melancholy defiance drifts through the track, its quiet swagger echoing a sorrowful, unhinged edge.",Infected Mushroom - IM 21 Pt. 1 [Full EP] ᴴᴰ.mp3
-1.1379,0.1813,mood_electronic,0.9573,chase adrenaline,0.3495,playful and unhinged,0.2968,wedding ecstasy,0.2958,0.0250,0.6017,0.9573,0.0766,0.2183,0.6387,0.9137,"Sadness and aggression mingle, as a chase of adrenaline drives the listener toward a mania that feels like a wedding ecstasy, while beneath the chill of electronics the energy stays in check.",Infected Mushroom - Bark [HQ Audio].mp3
-1.1052,0.1710,mood_electronic,0.9725,chase adrenaline,0.2670,warehouse rave delirium,0.2553,wedding ecstasy,0.2396,0.0269,0.5065,0.9725,0.0766,0.1991,0.5346,0.9285,"A relentless chase of adrenaline pierces a sorrowful night, an ecstatic surrender that feels transcendent and weightless, trembling with aggressive resolve.",Infected Mushroom - Pink Nightmares (Full Version).mp3
